git_pushes,iso2_code,year,quarter
31574,LB,2020,2
29933,HN,2020,2
29797,KH,2020,2
29632,PS,2020,2
28769,RW,2020,2
27051,MT,2020,2
26728,CM,2020,2
24383,CY,2020,2
23727,PA,2020,2
21415,TZ,2020,2
21310,PR,2020,2
20847,PY,2020,2
19903,KW,2020,2
18893,SN,2020,2
18318,ET,2020,2
15419,CU,2020,2
14371,NI,2020,2
14026,JM,2020,2
13013,CI,2020,2
12480,QA,2020,2
12270,MU,2020,2
12076,TT,2020,2
11500,ZW,2020,2
10881,SY,2020,2
10782,ME,2020,2
10403,MN,2020,2
10356,MO,2020,2
10234,MG,2020,2
9494,RE,2020,2
8605,AO,2020,2
7683,OM,2020,2
7599,SD,2020,2
7455,BH,2020,2
7391,MZ,2020,2
6209,MV,2020,2
6205,CD,2020,2
5329,LA,2020,2
4771,ZM,2020,2
4684,BJ,2020,2
4609,TJ,2020,2
4213,HT,2020,2
3962,YE,2020,2
3937,BN,2020,2
3776,BB,2020,2
3641,NC,2020,2
3614,GP,2020,2
3557,LY,2020,2
3239,JE,2020,2
2960,NA,2020,2
2850,IM,2020,2
2720,MW,2020,2
2643,TG,2020,2
2624,AF,2020,2
2616,BS,2020,2
2449,BW,2020,2
2384,CV,2020,2
2085,GM,2020,2
1993,SO,2020,2
1614,BF,2020,2
1611,BT,2020,2
1115,SL,2020,2
968,MR,2020,2
585,GN,2020,2
22384454,US,2020,3
15705498,EU,2020,3
7832236,IN,2020,3
5590189,CN,2020,3
3872270,GB,2020,3
3746932,BR,2020,3
3666680,DE,2020,3
2959671,RU,2020,3
2936818,JP,2020,3
2845292,KR,2020,3
2788392,CA,2020,3
2422580,FR,2020,3
1404830,AU,2020,3
1265334,UA,2020,3
1239749,NL,2020,3
1221564,PL,2020,3
1204481,ES,2020,3
1171000,HK,2020,3
1035274,ID,2020,3
966644,VN,2020,3
884805,IT,2020,3
792458,TW,2020,3
775557,AR,2020,3
737130,SG,2020,3
735087,CO,2020,3
732946,SE,2020,3
731235,MX,2020,3
687414,CH,2020,3
663086,IL,2020,3
535913,TR,2020,3
506514,BD,2020,3
474316,BE,2020,3
458880,CZ,2020,3
448717,NG,2020,3
448652,NO,2020,3
400280,BY,2020,3
387036,FI,2020,3
380776,PK,2020,3
367946,PH,2020,3
354792,AT,2020,3
353450,NZ,2020,3
340788,DK,2020,3
338525,TH,2020,3
336588,RO,2020,3
330957,PT,2020,3
321162,IE,2020,3
297816,ZA,2020,3
290492,EG,2020,3
283817,CL,2020,3
271434,HU,2020,3
245553,KE,2020,3
233350,PE,2020,3
227244,MY,2020,3
217897,BG,2020,3
212253,GR,2020,3
194379,LK,2020,3
190556,IR,2020,3
172553,NP,2020,3
164226,RS,2020,3
141446,EC,2020,3
112878,CR,2020,3
111369,TN,2020,3
108717,SA,2020,3
108299,HR,2020,3
107202,LT,2020,3
106008,AE,2020,3
104045,KZ,2020,3
101540,MA,2020,3
99390,VE,2020,3
95824,SK,2020,3
93841,UY,2020,3
93315,EE,2020,3
86938,GT,2020,3
77876,LV,2020,3
71134,SI,2020,3
67367,GH,2020,3
63912,DO,2020,3
63130,JO,2020,3
57908,MD,2020,3
57173,MM,2020,3
56607,DZ,2020,3
56492,BO,2020,3
55053,AM,2020,3
49409,UZ,2020,3
49194,SV,2020,3
43942,UG,2020,3
41699,GE,2020,3
40770,AZ,2020,3
39223,BA,2020,3
37919,RW,2020,3
37711,LB,2020,3
35346,PS,2020,3
35177,KG,2020,3
33218,HN,2020,3
33018,KH,2020,3
31484,MK,2020,3
31333,IQ,2020,3
30770,IS,2020,3
29605,LU,2020,3
28311,YE,2020,3
26190,CY,2020,3
24786,CM,2020,3
24086,PA,2020,3
23784,PR,2020,3
22414,AL,2020,3
21427,TZ,2020,3
19244,PY,2020,3
18746,KW,2020,3
17145,MT,2020,3
17087,MG,2020,3
16736,JM,2020,3
16285,ET,2020,3
15157,SN,2020,3
14538,NI,2020,3
14392,CU,2020,3
12894,ZW,2020,3
12587,MO,2020,3
12568,QA,2020,3
12507,SY,2020,3
12172,CI,2020,3
11152,RE,2020,3
11099,AO,2020,3
10496,MU,2020,3
10421,ME,2020,3
10117,MN,2020,3
9536,TT,2020,3
8642,MZ,2020,3
8122,BH,2020,3
7717,SD,2020,3
7318,OM,2020,3
7252,CD,2020,3
5908,BJ,2020,3
5676,ZM,2020,3
5089,TJ,2020,3
4896,LA,2020,3
4167,MV,2020,3
3922,HT,2020,3
3624,JE,2020,3
3386,NA,2020,3
3231,BW,2020,3
3197,TG,2020,3
2854,LY,2020,3
2786,BB,2020,3
2640,NC,2020,3
2577,MW,2020,3
2499,IM,2020,3
2330,BN,2020,3
2305,CV,2020,3
2302,BT,2020,3
2293,AF,2020,3
2112,SL,2020,3
1966,BF,2020,3
1962,SO,2020,3
1506,ML,2020,3
1456,BI,2020,3
1388,BZ,2020,3
1174,GA,2020,3
1162,MR,2020,3
698,GY,2020,3
21752294,US,2020,4
